resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_heartrate,max_heartrate,suffer_score
2,Morning Ride,14327.9,1799,1799,83.0,Ride,Ride,,2282038158,2019-04-09T05:07:06Z,2019-04-09T06:07:06Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",7.964,14.0,67.2,5.0,110.9,,,199.6,False,False,False,False,156.8,0.2,2429055051.0,2429055051,garmin_push_3546394386,False,0,0,False,1057751,1,a2282038158,qw|qHbr|^eB~Cs@}AcPyz@oAy]YqjA_E_iA`Nu_@zu@uuAbL_o@{B_Q|IaOxEoc@zEyRra@geA|Jsi@tV_eAVyw@tCsj@uEkfAtHgo@dBsd@lGap@QwOcHyKuC}NUuJ`Dy^{BuIfAcWPxI,2,,,
2,Morning Ride,14302.6,1713,1769,81.0,Ride,Ride,,2282038135,2019-04-08T05:08:52Z,2019-04-08T06:08:52Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",8.349,14.1,68.0,5.0,125.3,,,214.6,False,False,False,False,188.4,31.6,2429054991.0,2429054991,garmin_push_3546394292,False,0,0,False,1057751,1,a2282038135,_x|qHlu|^iCH{Oiz@uAc_@kA_fBwCim@nNga@vt@}rAdMcr@_CoPhJuOvDe`@dFsTz`@ybApKik@hV{bAx@sLIsk@tCii@oEoiAtHep@rB_g@nGkk@]eRgHqJmC_OQ{LtBk\wBgIbBgXVvHq@P,2,,,
2,Afternoon Ride,14953.6,1926,2399,192.0,Ride,Ride,,2282038082,2019-04-06T15:38:26Z,2019-04-06T16:38:26Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,0,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.06]","[50.29, -5.23]",7.764,13.1,65.6,12.0,174.3,,,335.6,False,False,False,False,226.0,72.6,2429054934.0,2429054934,garmin_push_3546394215,False,0,0,False,1057751,1,a2282038082,w~wqHhiz]nBvQoA~N_BnBq@x\dEnPnCxChDu@iAz^wFtf@_Az]oHxp@j@bi@vBrOQhf@rAh`@cDduApH|y@pLts@oFhDaPlZy{@~kBeJpIw^xJgHbRun@|hAeMl]lDlhAVpiAbBzc@`Ovv@vAnBzCqE,2,,,
2,Morning Ride,14287.4,1792,1792,85.0,Ride,Ride,,2282038042,2019-04-06T06:04:27Z,2019-04-06T07:04:27Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,0,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",7.973,13.5,66.0,3.0,116.2,,,208.2,False,False,False,False,249.6,92.2,2429054867.0,2429054867,garmin_push_3546394115,False,0,0,False,1057751,1,a2282038042,}y|qHrv|^cBo@eO{x@{Akb@YkiA{DqgAbLy\rw@}xAnLep@}BuPbJkOnEgc@|EoR`a@scAzb@mpBv@mKs@oD\ae@rCuj@mEigAtH}o@~Aoc@nG_q@O}OcI{LcCsPvBef@cCqJzB_XV~I,2,,,
2,Afternoon Ride,14970.5,1692,1692,200.0,Ride,Ride,,2282037926,2019-04-05T13:07:33Z,2019-04-05T14:07:33Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,0,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.06]","[50.29, -5.23]",8.848,14.2,72.1,10.0,230.8,,,390.6,False,False,False,False,281.6,127.2,2429054782.0,2429054782,garmin_push_3546394004,False,0,0,False,1057751,1,a2282037926,e_xqHtkz]|ArNcAjN{A`Co@b\hEbQdDfD~Cm@sAt`@iFze@_Ar\yHbs@n@ng@pBhOIjf@tAt_@iDvuAvHd|@rLtq@_GbDcM~XwAn@sz@jjBwJbKg_@pJeH`Rmn@lhAkM~]dCjq@|@f`B~Add@nO|w@lAhA`DyD,2,,,
2,Morning Ride,14390.1,1727,1727,82.0,Ride,Ride,,2282037853,2019-04-05T05:04:03Z,2019-04-05T06:04:03Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,0,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",8.332,13.2,65.5,3.0,122.4,,,211.3,False,False,False,False,162.6,2.2,2429054726.0,2429054726,garmin_push_3546393942,False,0,0,False,1057751,1,a2282037853,ou|qH`p|^iDpFgA{BkOgy@uAkb@e@knAsD{`AvNia@nu@quAbLeo@_C{PlJ}OlE}b@`EmPta@eeAzb@kpB^mv@vCkm@qE}eAtH_p@pBif@`G{m@MwN{H{LoCyOnBwh@wBmIxBoWFvI,2,,,
2,Morning Ride,19645.2,2971,40562,232.0,Ride,Ride,,2263929117,2019-04-03T05:01:57Z,2019-04-03T06:01:57Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,3,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.12]",6.612,12.5,,4.0,120.9,,,359.2,False,False,False,False,171.2,4.6,2410206375.0,2410206375,garmin_push_3524179359,False,0,0,False,1057751,1,a2263929117,ow|qH|q|^gBjDcAuAqOky@qAw_@[yjA_EmhAbOma@ft@yrAzLaq@yByPjJgPdEgb@jFqSr`@ybAvb@gpBd@qx@rCyg@qEkiAtHso@fBwd@hG_o@Q}OaI_LcCwOpB}g@yBkJhBwWZhIyG~M`HsNv@ZgEUjCb@vB|ReA~NeB|B_AhYlEnStCdDdDYwAba@gFbf@u@hZsHds@v@nl@hBbKr@p}A,2,,,
2,Lunch Ride,64301.5,7897,10312,816.0,Ride,Ride,,2260097479,2019-04-02T10:34:33Z,2019-04-02T11:34:33Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,8,3,0,2,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.29, -5.23]",8.143,17.7,75.0,9.0,190.9,,,1507.9,False,True,False,True,186.2,24.4,2406256396.0,2406256396,garmin_push_3519514764,False,3,0,False,1057751,1,a2260097479,av|qHjq|^oE`BuOux@sHeuDtMk_@hv@uvAhLwo@}BqPjJiPbMex@~`@wcAbc@cwBlCw{AgE_eA|SugCSiOoHqJqC}NrBci@uBoJrC_M_CrGwDHqCcKUwNdIw`@iUma@}EoY_XeN_EeY_Rie@hKk_A~QgU`AcMsDsS}HkGiWqj@kN_QQqN_PwLoKws@ug@w~@kVkBwRcSq^vJmLyWwQz@yr@sYe^|EsVyZufAgj@cPs[_d@mLuRpF}TnSoD`P}SrTkDjS}a@jVc@|HyF~AqNrw@er@ftBmQ`y@ea@ngA{V`]wUlJkWbw@}YrNiWqDtBzjCzJ~dAfLdm@`Zzl@b\zZl`@lDhp@lYde@p_@j`AcE~eAnd@dh@rwA{`@paAcKfv@mLz]xU~ThHxU~@tWyGrM^rJxEn@bTvt@jL`I~B`VnOjSd_@lSz[zGtGlKhYnFd_@oCnIjJxTbA`@~k@kCbYpUqV`MuClElFtIjk@nMgFh^hJpUqCbHzsDpOtx@pFeB,2,143.9,179.0,134.0
2,Afternoon Ride,13901.7,1556,1578,159.0,Ride,Ride,,2260096902,2019-04-01T12:54:37Z,2019-04-01T13:54:37Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,2,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.07]","[50.29, -5.23]",8.934,14.4,70.6,11.0,218.9,,,340.7,False,False,False,False,116.0,0.0,2406255935.0,2406255935,garmin_push_3519514284,False,0,0,False,1057751,1,a2260096902,k|wqHj~|]fCzCrDq@}@p\eGpi@_Az\mHvq@b@ve@vBjREfg@pAn_@kD|pAtHz_AtLbr@yFpD{O|Zyz@fjB{IfJc`@xKkGrPsn@thAcNp_@pC|o@`AvdBtAf_@pOfx@jAbBdDoE,2,,,
2,Morning Ride,14352.8,1948,1948,89.0,Ride,Ride,,2260042027,2019-04-01T05:06:30Z,2019-04-01T06:06:30Z,(GMT+00:00) Europe/London,3600.0,,,United Kingdom,0,1,0,1,0,False,False,False,False,everyone,False,,"[50.29, -5.23]","[50.26, -5.05]",7.368,13.2,65.6,6.0,97.1,,,189.2,False,False,False,False,85.4,-75.2,2406199809.0,2406199809,garmin_push_3519446642,False,0,0,False,1057751,1,a2260042027,cw|qHtp|^qBfEyAqDaOiw@uAgb@[ijA_EudA~Nka@`u@stAlLep@{BiPjJoP~Dga@hF}Sv`@_cAbc@wqB^wu@nCok@kEggAnHen@pBah@~Fsk@O_RwHkKmCyPpBmg@uBeKnB_WPtI,2,,,
2,Afternoon Ride,11379.5,1510,1764,127.0,Ride,Ride,,2252720826,2019-03-30T17:55:15Z,2019-03-30T17:55:15Z,(GMT+00:00) Europe/London,0.0,,,United Kingdom,0,3,0,1,0,False,False,False,False,everyone,False,,"[50.26, -5.1]","[50.29, -5.23]",7.536,12.7,64.7,6.0,140.6,,,212.3,False,False,False,False,82.2,0.0,2398561979.0,2398561979,garmin_push_3510299755,False,0,0,False,1057751,1,a2252720826,iexqHtic^zAp[Ntr@|CjHoBhIiDjfAdKtfAhJ`g@{F|B{i@zfAya@r_AsJxIq^xJaIfSul@feAwNba@tDreA\jjA|Atc@dOtw@pAhB`DkE,2,,,
