id,resource_state,name,elapsed_time,moving_time,start_date,start_date_local,distance,start_index,end_index,average_cadence,device_watts,average_watts,pr_rank,achievements,kom_rank,activity.id,activity.resource_state,athlete.id,athlete.resource_state,segment.id,segment.resource_state,segment.name,segment.activity_type,segment.distance,segment.average_grade,segment.maximum_grade,segment.elevation_high,segment.elevation_low,segment.start_latlng,segment.end_latlng,segment.elevation_profile,segment.climb_category,segment.city,segment.state,segment.country,segment.private,segment.hazardous,segment.starred,average_heartrate,max_heartrate
2953632367190783592,2,Descenso real Coll de Soller,492,492,2022-04-25T08:15:54Z,2022-04-25T10:15:54Z,4873.8,2035,2527,58.7,True,105.9,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7038009679,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2960134447304327792,2,Descenso real Coll de Soller,492,492,2022-05-13T08:08:11Z,2022-05-13T10:08:11Z,4873.8,1979,2471,59.1,True,93.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7134561476,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2973129052058192802,2,Descenso real Coll de Soller,492,491,2022-06-18T05:11:51Z,2022-06-18T07:11:51Z,4873.8,2107,2599,55.2,True,97.0,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7326791860,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3016679535821680820,2,Descenso real Coll de Soller,492,492,2022-10-16T08:54:45Z,2022-10-16T10:54:45Z,4873.8,1751,2243,57.0,True,102.0,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7970878479,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2942394292534109818,2,Descenso real Coll de Soller,493,493,2022-03-25T09:28:20Z,2022-03-25T10:28:20Z,4873.8,2065,2558,57.3,True,116.0,2.0,"[{'type_id': 3, 'type': 'pr', 'rank': 2}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6879415846,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2943128177341459374,2,Descenso real Coll de Soller,493,493,2022-03-27T10:00:34Z,2022-03-27T12:00:34Z,4873.8,2733,3226,59.4,True,133.2,3.0,"[{'type_id': 3, 'type': 'pr', 'rank': 3}, {'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6890532682,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
2956141712117307820,2,Descenso real Coll de Soller,493,493,2022-05-02T08:15:08Z,2022-05-02T10:15:08Z,4873.8,1832,2325,58.2,True,105.4,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,7074622719,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3040608957108087378,2,Descenso real Coll de Soller,493,493,2022-12-21T07:08:16Z,2022-12-21T08:08:16Z,4873.8,2023,2515,49.2,True,78.1,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8274059498,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,119.6,146.0
2949965741629000434,2,Descenso real Coll de Soller,494,494,2022-04-15T07:02:14Z,2022-04-15T09:02:14Z,4873.8,2055,2549,55.6,True,90.3,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,6984060832,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,,
3023253337682320604,2,Descenso real Coll de Soller,495,495,2022-11-03T12:21:08Z,2022-11-03T13:21:08Z,4873.8,2036,2531,53.8,True,84.5,,"[{'type_id': 7, 'type': 'segment_effort_count_leader', 'rank': 1, 'effort_count': 21}]",,8062606225,1,1057751,1,14452623,2,Descenso real Coll de Soller,Ride,4873.8,-5.1,0.0,484.8,234.0,"[39.730475, 2.686211]","[39.716404, 2.690344]",,0,,,,False,False,False,120.3,145.0
